,blueWin,blueGold,blueExp,blueLvl,blueCS,blueJngCS,blueVisionScore,blueTowerScore,blueInhibScore,blueDrakeScore,blueHeraldScore,blueBaronScore,blueKillScore,blueDeathScore,blueAssistScore,blueFirstHerald,blueFirstDrake,blueFirstBaron,blueFirstElder,blueDrakeSoul,redGold,redExp,redLvl,redCS,redJngCS,redVisionScore,redTowerScore,redInhibScore,redDrakeScore,redHeraldScore,redBaronScore,redKillScore,redDeathScore,redAssistScore,redFirstHerald,redFirstDrake,redFirstBaron,redFirstElder,redDrakeSoul,blueExpDiff,blueLvlDiff,blueGoldDiff,blueDrakeDiff,blueBaronDiff,blueHeraldDiff,blueTowerDiff,blueInhibDiff
0,1.0,38255.0,44590.0,60.0,393.0,117.0,36.0,4.0,0.0,2.0,1.0,0.0,19.0,15.0,12.0,1.0,0.0,0.0,0.0,0.0,31388.0,37231.0,53.0,380.0,60.0,191.0,0.0,0.0,1.0,0.0,0.0,15.0,19.0,15.0,0.0,1.0,0.0,0.0,0.0,7359.0,7.0,6867.0,1.0,0.0,1.0,4.0,0.0
1,1.0,44248.0,46791.0,60.0,386.0,158.0,27.0,6.0,1.0,3.0,2.0,0.0,32.0,11.0,27.0,1.0,1.0,0.0,0.0,0.0,33082.0,36922.0,53.0,388.0,69.0,35.0,0.0,0.0,0.0,0.0,0.0,11.0,32.0,21.0,0.0,0.0,0.0,0.0,0.0,9869.0,7.0,11166.0,3.0,0.0,2.0,6.0,1.0
2,0.0,37706.0,40429.0,55.0,434.0,96.0,31.0,1.0,0.0,1.0,2.0,0.0,15.0,31.0,10.0,1.0,1.0,0.0,0.0,0.0,45824.0,48672.0,62.0,444.0,126.0,83.0,3.0,0.0,2.0,0.0,0.0,31.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,-8243.0,-7.0,-8118.0,-1.0,0.0,2.0,-2.0,0.0
3,1.0,40380.0,43851.0,58.0,390.0,122.0,265.0,4.0,0.0,1.0,0.0,0.0,27.0,17.0,26.0,0.0,0.0,0.0,0.0,0.0,36815.0,39216.0,54.0,388.0,80.0,39.0,1.0,0.0,2.0,1.0,0.0,17.0,27.0,24.0,1.0,1.0,0.0,0.0,0.0,4635.0,4.0,3565.0,-1.0,0.0,-1.0,3.0,0.0
4,0.0,33877.0,41139.0,56.0,355.0,98.0,25.0,2.0,0.0,0.0,0.0,0.0,17.0,25.0,11.0,0.0,0.0,0.0,0.0,0.0,41869.0,43552.0,58.0,395.0,144.0,25.0,5.0,1.0,3.0,1.0,0.0,25.0,17.0,32.0,1.0,1.0,0.0,0.0,0.0,-2413.0,-2.0,-7992.0,-3.0,0.0,-1.0,-3.0,-1.0
5,0.0,34379.0,42644.0,57.0,298.0,73.0,103.0,2.0,0.0,0.0,0.0,0.0,19.0,23.0,19.0,0.0,0.0,0.0,0.0,0.0,41789.0,46542.0,60.0,359.0,134.0,64.0,6.0,0.0,3.0,2.0,0.0,23.0,19.0,12.0,1.0,1.0,0.0,0.0,0.0,-3898.0,-3.0,-7410.0,-3.0,0.0,-2.0,-4.0,0.0
6,1.0,32363.0,37967.0,53.0,315.0,51.0,24.0,1.0,0.0,1.0,0.0,0.0,15.0,19.0,14.0,0.0,1.0,0.0,0.0,0.0,38184.0,42937.0,58.0,365.0,116.0,23.0,3.0,0.0,1.0,2.0,0.0,19.0,15.0,25.0,1.0,0.0,0.0,0.0,0.0,-4970.0,-5.0,-5821.0,0.0,0.0,-2.0,-2.0,0.0
7,0.0,37447.0,44596.0,57.0,500.0,115.0,115.0,4.0,0.0,2.0,0.0,0.0,15.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,34184.0,42223.0,58.0,565.0,122.0,48.0,0.0,0.0,1.0,1.0,0.0,7.0,15.0,4.0,1.0,1.0,0.0,0.0,0.0,2373.0,-1.0,3263.0,1.0,0.0,-1.0,4.0,0.0
8,0.0,39984.0,42245.0,57.0,407.0,103.0,136.0,2.0,0.0,1.0,2.0,0.0,23.0,21.0,34.0,1.0,0.0,0.0,0.0,0.0,38040.0,36745.0,52.0,409.0,100.0,54.0,2.0,0.0,2.0,0.0,0.0,21.0,23.0,23.0,0.0,1.0,0.0,0.0,0.0,5500.0,5.0,1944.0,-1.0,0.0,2.0,0.0,0.0
9,0.0,36078.0,40415.0,56.0,359.0,100.0,39.0,0.0,0.0,2.0,1.0,0.0,20.0,32.0,30.0,0.0,0.0,0.0,0.0,0.0,47104.0,48744.0,62.0,427.0,100.0,274.0,5.0,0.0,1.0,1.0,0.0,32.0,20.0,24.0,1.0,1.0,0.0,0.0,0.0,-8329.0,-6.0,-11026.0,1.0,0.0,0.0,-5.0,0.0
10,1.0,36943.0,41573.0,56.0,360.0,55.0,56.0,1.0,0.0,1.0,0.0,0.0,22.0,24.0,23.0,0.0,0.0,0.0,0.0,0.0,41250.0,43155.0,57.0,423.0,100.0,55.0,4.0,0.0,2.0,2.0,0.0,24.0,22.0,19.0,1.0,1.0,0.0,0.0,0.0,-1582.0,-1.0,-4307.0,-1.0,0.0,-2.0,-3.0,0.0
11,1.0,40216.0,45656.0,60.0,403.0,116.0,49.0,3.0,0.0,2.0,2.0,0.0,21.0,16.0,23.0,1.0,1.0,0.0,0.0,0.0,34720.0,43798.0,58.0,383.0,112.0,40.0,0.0,0.0,1.0,0.0,0.0,16.0,21.0,16.0,0.0,0.0,0.0,0.0,0.0,1858.0,2.0,5496.0,1.0,0.0,2.0,3.0,0.0
12,0.0,34494.0,41425.0,56.0,407.0,81.0,47.0,1.0,0.0,0.0,0.0,0.0,19.0,24.0,20.0,0.0,0.0,0.0,0.0,0.0,45420.0,49589.0,62.0,489.0,116.0,65.0,5.0,0.0,2.0,1.0,0.0,24.0,19.0,21.0,1.0,1.0,0.0,0.0,0.0,-8164.0,-6.0,-10926.0,-2.0,0.0,-1.0,-4.0,0.0
13,1.0,40709.0,44828.0,58.0,369.0,107.0,37.0,4.0,0.0,0.0,1.0,0.0,25.0,26.0,21.0,0.0,0.0,0.0,0.0,0.0,39697.0,45840.0,59.0,354.0,104.0,47.0,1.0,0.0,2.0,1.0,0.0,26.0,25.0,26.0,1.0,1.0,0.0,0.0,0.0,-1012.0,-1.0,1012.0,-2.0,0.0,0.0,3.0,0.0
14,1.0,41464.0,44194.0,58.0,327.0,102.0,35.0,2.0,0.0,0.0,1.0,0.0,31.0,21.0,33.0,1.0,0.0,0.0,0.0,0.0,34418.0,41258.0,56.0,288.0,64.0,321.0,0.0,0.0,3.0,1.0,0.0,21.0,31.0,18.0,0.0,1.0,0.0,0.0,0.0,2936.0,2.0,7046.0,-3.0,0.0,0.0,2.0,0.0
15,0.0,33863.0,41653.0,56.0,420.0,116.0,39.0,1.0,0.0,0.0,0.0,0.0,10.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,40209.0,46536.0,61.0,422.0,130.0,36.0,5.0,1.0,2.0,1.0,0.0,19.0,10.0,14.0,1.0,1.0,0.0,0.0,0.0,-4883.0,-5.0,-6346.0,-2.0,0.0,-1.0,-4.0,-1.0
16,1.0,37227.0,44020.0,57.0,442.0,108.0,72.0,1.0,0.0,2.0,1.0,0.0,17.0,17.0,18.0,0.0,1.0,0.0,0.0,0.0,36680.0,42888.0,57.0,463.0,88.0,32.0,2.0,0.0,1.0,1.0,0.0,17.0,17.0,20.0,1.0,0.0,0.0,0.0,0.0,1132.0,0.0,547.0,1.0,0.0,0.0,-1.0,0.0
17,1.0,37264.0,44106.0,59.0,367.0,80.0,38.0,4.0,0.0,1.0,0.0,0.0,22.0,12.0,15.0,0.0,1.0,0.0,0.0,0.0,35297.0,40397.0,56.0,421.0,96.0,132.0,3.0,0.0,0.0,1.0,0.0,12.0,22.0,8.0,1.0,0.0,0.0,0.0,0.0,3709.0,3.0,1967.0,1.0,0.0,-1.0,1.0,0.0
18,1.0,41567.0,47304.0,61.0,435.0,122.0,49.0,3.0,0.0,1.0,2.0,0.0,24.0,11.0,22.0,1.0,0.0,0.0,0.0,0.0,34597.0,42763.0,57.0,436.0,88.0,36.0,1.0,0.0,1.0,0.0,0.0,11.0,24.0,13.0,0.0,1.0,0.0,0.0,0.0,4541.0,4.0,6970.0,0.0,0.0,2.0,2.0,0.0
19,0.0,31966.0,39014.0,54.0,374.0,92.0,46.0,2.0,0.0,1.0,0.0,0.0,13.0,26.0,15.0,0.0,0.0,0.0,0.0,0.0,45339.0,50557.0,63.0,444.0,158.0,40.0,2.0,0.0,2.0,2.0,0.0,26.0,13.0,21.0,1.0,1.0,0.0,0.0,0.0,-11543.0,-9.0,-13373.0,-1.0,0.0,-2.0,0.0,0.0
20,1.0,37646.0,46258.0,59.0,425.0,112.0,64.0,2.0,0.0,3.0,1.0,0.0,24.0,17.0,15.0,0.0,1.0,0.0,0.0,0.0,35758.0,41705.0,56.0,424.0,88.0,39.0,0.0,0.0,0.0,1.0,0.0,17.0,24.0,14.0,1.0,0.0,0.0,0.0,0.0,4553.0,3.0,1888.0,3.0,0.0,0.0,2.0,0.0
21,1.0,37202.0,38682.0,55.0,440.0,91.0,39.0,4.0,0.0,0.0,2.0,0.0,16.0,23.0,13.0,1.0,0.0,0.0,0.0,0.0,37861.0,44230.0,59.0,400.0,128.0,37.0,1.0,0.0,3.0,0.0,0.0,23.0,16.0,19.0,0.0,1.0,0.0,0.0,0.0,-5548.0,-4.0,-659.0,-3.0,0.0,2.0,3.0,0.0
22,1.0,40739.0,45415.0,60.0,455.0,108.0,300.0,3.0,0.0,2.0,2.0,0.0,25.0,12.0,28.0,1.0,1.0,0.0,0.0,0.0,32202.0,41719.0,57.0,386.0,72.0,48.0,0.0,0.0,0.0,0.0,0.0,12.0,25.0,8.0,0.0,0.0,0.0,0.0,0.0,3696.0,3.0,8537.0,2.0,0.0,2.0,3.0,0.0
23,0.0,30510.0,38057.0,53.0,369.0,96.0,65.0,2.0,0.0,0.0,1.0,0.0,6.0,18.0,4.0,1.0,0.0,0.0,0.0,0.0,34830.0,44058.0,57.0,396.0,104.0,31.0,2.0,0.0,2.0,0.0,0.0,18.0,6.0,12.0,0.0,1.0,0.0,0.0,0.0,-6001.0,-4.0,-4320.0,-2.0,0.0,1.0,0.0,0.0
24,1.0,43349.0,50673.0,62.0,504.0,143.0,42.0,6.0,0.0,3.0,1.0,0.0,24.0,16.0,16.0,1.0,1.0,0.0,0.0,0.0,37494.0,45011.0,60.0,450.0,135.0,43.0,1.0,0.0,0.0,0.0,0.0,16.0,24.0,20.0,0.0,0.0,0.0,0.0,0.0,5662.0,2.0,5855.0,3.0,0.0,1.0,5.0,0.0
25,1.0,33478.0,37558.0,53.0,408.0,110.0,31.0,3.0,0.0,1.0,1.0,0.0,10.0,25.0,16.0,1.0,0.0,0.0,0.0,0.0,40850.0,45579.0,59.0,475.0,135.0,34.0,2.0,0.0,2.0,1.0,0.0,25.0,10.0,26.0,0.0,1.0,0.0,0.0,0.0,-8021.0,-6.0,-7372.0,-1.0,0.0,0.0,1.0,0.0
26,0.0,27799.0,34064.0,50.0,293.0,64.0,24.0,0.0,0.0,1.0,0.0,0.0,10.0,27.0,9.0,0.0,1.0,0.0,0.0,0.0,39356.0,43413.0,58.0,367.0,112.0,65.0,3.0,0.0,1.0,1.0,0.0,27.0,10.0,23.0,1.0,0.0,0.0,0.0,0.0,-9349.0,-8.0,-11557.0,0.0,0.0,-1.0,-3.0,0.0
27,1.0,38231.0,41021.0,57.0,366.0,86.0,84.0,3.0,0.0,1.0,1.0,0.0,24.0,29.0,23.0,1.0,0.0,0.0,0.0,0.0,43374.0,43149.0,58.0,395.0,98.0,45.0,3.0,0.0,2.0,0.0,0.0,29.0,24.0,24.0,0.0,1.0,0.0,0.0,0.0,-2128.0,-1.0,-5143.0,-1.0,0.0,1.0,0.0,0.0
28,0.0,33554.0,39915.0,55.0,281.0,76.0,253.0,3.0,0.0,1.0,2.0,0.0,18.0,23.0,24.0,1.0,1.0,0.0,0.0,0.0,37112.0,38757.0,52.0,403.0,44.0,30.0,2.0,0.0,1.0,0.0,0.0,23.0,18.0,12.0,0.0,0.0,0.0,0.0,0.0,1158.0,3.0,-3558.0,0.0,0.0,2.0,1.0,0.0
29,1.0,40936.0,45008.0,58.0,387.0,116.0,41.0,3.0,0.0,2.0,1.0,0.0,25.0,18.0,22.0,1.0,1.0,0.0,0.0,0.0,33780.0,40088.0,55.0,349.0,52.0,30.0,0.0,0.0,0.0,0.0,0.0,18.0,25.0,12.0,0.0,0.0,0.0,0.0,0.0,4920.0,3.0,7156.0,2.0,0.0,1.0,3.0,0.0
30,1.0,47989.0,45730.0,59.0,379.0,165.0,30.0,8.0,1.0,2.0,2.0,0.0,35.0,12.0,29.0,1.0,1.0,0.0,0.0,0.0,29941.0,32933.0,49.0,295.0,58.0,30.0,0.0,0.0,0.0,0.0,0.0,12.0,35.0,17.0,0.0,0.0,0.0,0.0,0.0,12797.0,10.0,18048.0,2.0,0.0,2.0,8.0,1.0
31,1.0,47634.0,48678.0,63.0,465.0,112.0,33.0,6.0,0.0,2.0,1.0,0.0,32.0,21.0,33.0,0.0,1.0,0.0,0.0,0.0,38795.0,42597.0,57.0,397.0,101.0,22.0,1.0,0.0,0.0,1.0,0.0,21.0,32.0,20.0,1.0,0.0,0.0,0.0,0.0,6081.0,6.0,8839.0,2.0,0.0,0.0,5.0,0.0
