,blueWin,blueGold,blueExp,blueLvl,blueCS,blueJngCS,blueVisionScore,blueTowerScore,blueInhibScore,blueDrakeScore,blueHeraldScore,blueBaronScore,blueKillScore,blueDeathScore,blueAssistScore,blueFirstHerald,blueFirstDrake,blueFirstBaron,blueFirstElder,blueDrakeSoul,redGold,redExp,redLvl,redCS,redJngCS,redVisionScore,redTowerScore,redInhibScore,redDrakeScore,redHeraldScore,redBaronScore,redKillScore,redDeathScore,redAssistScore,redFirstHerald,redFirstDrake,redFirstBaron,redFirstElder,redDrakeSoul,blueExpDiff,blueLvlDiff,blueGoldDiff,blueDrakeDiff,blueBaronDiff,blueHeraldDiff,blueTowerDiff,blueInhibDiff
0,0.0,46096.0,58615.0,67.0,505.0,106.0,62.0,3.0,0.0,0.0,0.0,0.0,25.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,54271.0,61887.0,71.0,513.0,176.0,65.0,6.0,1.0,4.0,2.0,1.0,33.0,25.0,33.0,1.0,1.0,1.0,0.0,1.0,-3272.0,-4.0,-8175.0,-4.0,-1.0,-2.0,-3.0,-1.0
1,1.0,52572.0,59106.0,69.0,494.0,171.0,53.0,8.0,0.0,3.0,1.0,0.0,41.0,17.0,32.0,1.0,1.0,0.0,0.0,0.0,41405.0,50778.0,63.0,380.0,87.0,39.0,0.0,0.0,0.0,0.0,0.0,17.0,41.0,21.0,0.0,0.0,0.0,0.0,0.0,8328.0,6.0,11167.0,3.0,0.0,1.0,8.0,0.0
2,1.0,42666.0,51666.0,65.0,535.0,140.0,58.0,4.0,0.0,2.0,2.0,0.0,13.0,16.0,16.0,1.0,0.0,0.0,0.0,0.0,46351.0,56699.0,67.0,538.0,190.0,65.0,2.0,0.0,2.0,0.0,0.0,16.0,13.0,21.0,0.0,1.0,0.0,0.0,0.0,-5033.0,-2.0,-3685.0,0.0,0.0,2.0,2.0,0.0
3,1.0,50412.0,58462.0,68.0,526.0,142.0,68.0,6.0,0.0,2.0,1.0,1.0,28.0,17.0,33.0,1.0,1.0,1.0,0.0,0.0,43158.0,52093.0,63.0,497.0,91.0,55.0,0.0,0.0,0.0,0.0,0.0,17.0,28.0,24.0,0.0,0.0,0.0,0.0,0.0,6369.0,5.0,7254.0,2.0,1.0,1.0,6.0,0.0
4,0.0,48631.0,55753.0,66.0,577.0,122.0,97.0,2.0,0.0,2.0,0.0,0.0,24.0,33.0,37.0,0.0,0.0,0.0,0.0,0.0,57410.0,64972.0,73.0,559.0,182.0,92.0,4.0,1.0,1.0,1.0,1.0,33.0,24.0,52.0,1.0,1.0,1.0,0.0,0.0,-9219.0,-7.0,-8779.0,1.0,-1.0,-1.0,-2.0,-1.0
5,0.0,47616.0,56099.0,67.0,568.0,147.0,77.0,6.0,0.0,0.0,2.0,0.0,23.0,24.0,24.0,1.0,0.0,0.0,0.0,0.0,51222.0,65425.0,74.0,586.0,213.0,146.0,2.0,0.0,4.0,0.0,1.0,24.0,23.0,36.0,0.0,1.0,1.0,0.0,1.0,-9326.0,-7.0,-3606.0,-4.0,-1.0,2.0,4.0,0.0
6,0.0,52013.0,60934.0,71.0,670.0,157.0,73.0,3.0,0.0,2.0,1.0,0.0,30.0,22.0,25.0,0.0,0.0,0.0,0.0,0.0,49756.0,58716.0,68.0,637.0,165.0,85.0,3.0,0.0,2.0,1.0,0.0,22.0,30.0,21.0,1.0,1.0,0.0,0.0,0.0,2218.0,3.0,2257.0,0.0,0.0,0.0,0.0,0.0
7,0.0,45133.0,54639.0,66.0,581.0,128.0,67.0,3.0,0.0,0.0,0.0,0.0,18.0,29.0,22.0,0.0,0.0,0.0,0.0,0.0,51191.0,60406.0,69.0,533.0,214.0,74.0,6.0,0.0,4.0,1.0,0.0,29.0,18.0,20.0,1.0,1.0,0.0,0.0,1.0,-5767.0,-3.0,-6058.0,-4.0,0.0,-1.0,-3.0,0.0
8,1.0,51486.0,56976.0,68.0,598.0,149.0,76.0,7.0,0.0,1.0,2.0,0.0,26.0,16.0,24.0,1.0,0.0,0.0,0.0,0.0,44788.0,55143.0,66.0,493.0,133.0,164.0,0.0,0.0,2.0,0.0,1.0,16.0,26.0,29.0,0.0,1.0,1.0,0.0,0.0,1833.0,2.0,6698.0,-1.0,-1.0,2.0,7.0,0.0
9,0.0,44932.0,55399.0,66.0,540.0,140.0,92.0,1.0,0.0,1.0,1.0,0.0,18.0,29.0,23.0,1.0,1.0,0.0,0.0,0.0,50379.0,60767.0,70.0,540.0,164.0,58.0,4.0,0.0,2.0,1.0,0.0,29.0,18.0,34.0,0.0,0.0,0.0,0.0,0.0,-5368.0,-4.0,-5447.0,-1.0,0.0,0.0,-3.0,0.0
