,blueWin,blueGold,blueExp,blueLvl,blueCS,blueJngCS,blueVisionScore,blueTowerScore,blueInhibScore,blueDrakeScore,blueHeraldScore,blueBaronScore,blueKillScore,blueDeathScore,blueAssistScore,blueFirstHerald,blueFirstDrake,blueFirstBaron,blueFirstElder,blueDrakeSoul,redGold,redExp,redLvl,redCS,redJngCS,redVisionScore,redTowerScore,redInhibScore,redDrakeScore,redHeraldScore,redBaronScore,redKillScore,redDeathScore,redAssistScore,redFirstHerald,redFirstDrake,redFirstBaron,redFirstElder,redDrakeSoul,blueExpDiff,blueLvlDiff,blueGoldDiff,blueDrakeDiff,blueBaronDiff,blueHeraldDiff,blueTowerDiff,blueInhibDiff
0,1.0,76050.0,92040.0,86.0,627.0,269.0,58.0,7.0,2.0,4.0,1.0,1.0,54.0,39.0,61.0,1.0,1.0,1.0,0.0,1.0,67907.0,89169.0,85.0,710.0,131.0,148.0,3.0,0.0,2.0,0.0,0.0,39.0,54.0,39.0,0.0,0.0,0.0,0.0,0.0,2871.0,1.0,8143.0,2.0,1.0,1.0,4.0,2.0
1,0.0,66725.0,81271.0,82.0,785.0,244.0,83.0,9.0,2.0,4.0,2.0,1.0,24.0,31.0,30.0,1.0,1.0,1.0,0.0,1.0,68092.0,89394.0,85.0,719.0,206.0,91.0,4.0,1.0,2.0,0.0,1.0,31.0,24.0,54.0,0.0,0.0,0.0,0.0,0.0,-8123.0,-3.0,-1367.0,2.0,0.0,2.0,5.0,1.0
2,1.0,73794.0,92542.0,86.0,700.0,227.0,108.0,7.0,1.0,3.0,1.0,2.0,46.0,40.0,65.0,0.0,1.0,1.0,0.0,0.0,66708.0,84989.0,85.0,657.0,159.0,301.0,3.0,0.0,2.0,1.0,0.0,40.0,46.0,61.0,1.0,0.0,0.0,0.0,0.0,7553.0,1.0,7086.0,1.0,2.0,0.0,4.0,1.0
3,0.0,72448.0,88819.0,86.0,791.0,267.0,145.0,9.0,2.0,2.0,0.0,0.0,35.0,29.0,52.0,0.0,1.0,0.0,0.0,0.0,67018.0,85663.0,84.0,737.0,200.0,427.0,4.0,0.0,4.0,2.0,1.0,29.0,35.0,43.0,1.0,0.0,1.0,0.0,1.0,3156.0,2.0,5430.0,-2.0,-1.0,-2.0,5.0,2.0
4,0.0,62615.0,69134.0,75.0,611.0,201.0,110.0,7.0,1.0,3.0,2.0,0.0,30.0,33.0,53.0,1.0,0.0,0.0,0.0,0.0,66262.0,81678.0,83.0,679.0,166.0,98.0,1.0,0.0,3.0,0.0,1.0,33.0,30.0,77.0,0.0,1.0,1.0,0.0,0.0,-12544.0,-8.0,-3647.0,0.0,-1.0,2.0,6.0,1.0
5,0.0,68909.0,78234.0,79.0,572.0,257.0,93.0,9.0,3.0,3.0,2.0,1.0,39.0,39.0,70.0,1.0,0.0,1.0,0.0,0.0,69046.0,83431.0,83.0,669.0,124.0,111.0,0.0,0.0,3.0,0.0,0.0,39.0,39.0,82.0,0.0,1.0,0.0,0.0,0.0,-5197.0,-4.0,-137.0,0.0,1.0,2.0,9.0,3.0
6,1.0,69846.0,81556.0,82.0,692.0,201.0,116.0,7.0,0.0,4.0,1.0,0.0,38.0,36.0,62.0,1.0,0.0,0.0,0.0,1.0,74896.0,82532.0,84.0,609.0,202.0,76.0,4.0,1.0,1.0,0.0,1.0,36.0,38.0,59.0,0.0,1.0,1.0,0.0,0.0,-976.0,-2.0,-5050.0,3.0,-1.0,1.0,3.0,-1.0
7,1.0,71133.0,84283.0,83.0,599.0,251.0,61.0,11.0,5.0,4.0,1.0,1.0,37.0,37.0,61.0,1.0,1.0,1.0,0.0,1.0,66964.0,92256.0,85.0,762.0,105.0,233.0,2.0,0.0,0.0,0.0,1.0,37.0,37.0,82.0,0.0,0.0,0.0,0.0,0.0,-7973.0,-2.0,4169.0,4.0,0.0,1.0,9.0,5.0
8,1.0,63654.0,71792.0,75.0,525.0,220.0,97.0,6.0,1.0,2.0,1.0,0.0,34.0,35.0,63.0,0.0,0.0,0.0,0.0,0.0,66583.0,78335.0,80.0,610.0,198.0,73.0,4.0,0.0,3.0,1.0,1.0,35.0,34.0,51.0,1.0,1.0,1.0,0.0,0.0,-6543.0,-5.0,-2929.0,-1.0,-1.0,0.0,2.0,1.0
9,0.0,70010.0,83261.0,83.0,734.0,162.0,81.0,10.0,1.0,1.0,1.0,0.0,36.0,43.0,46.0,1.0,0.0,0.0,0.0,0.0,76423.0,97356.0,88.0,696.0,212.0,76.0,4.0,0.0,5.0,0.0,2.0,43.0,36.0,69.0,0.0,1.0,1.0,1.0,1.0,-14095.0,-5.0,-6413.0,-4.0,-2.0,1.0,6.0,1.0
